p.value,FDR,summary.logFC,external_gene_name,comparison,Prog,HSPC,LT_HSC
1.61e-43,4.508e-41,-5.326,Procr,prog_lthsc,0.6823,3.401,6.008
2.333e-30,1.089e-28,-4.144,Mmrn1,prog_lthsc,0.8908,2.84,5.035
2.409e-27,9.638e-26,-3.941,Esam,prog_lthsc,0.8969,2.892,4.838
3.838e-39,5.373e-37,3.831,Cd48,prog_lthsc,6.681,4.922,2.85
1.863e-35,5.217e-33,-3.709,Cd34,lthsc_hspc,6.401,9.458,5.749
5.955e-27,2.084e-25,-3.674,F11r,prog_lthsc,0.7893,2.886,4.463
8.623e-35,6.036e-33,3.28,Atp1b2,prog_lthsc,5.233,1.972,1.953
1.833e-88,1.71e-86,3.261,Atp1b2,prog_hspc,5.233,1.972,1.953
5.856e-79,3.279e-77,-3.057,Cd34,prog_hspc,6.401,9.458,5.749
4.737e-90,6.631e-88,3.035,Emilin2,prog_hspc,4.538,1.503,1.519
6.995e-36,6.528e-34,3.019,Emilin2,prog_lthsc,4.538,1.503,1.519
2.709e-78,1.264e-76,3.001,Epdr1,prog_hspc,4.596,1.595,1.802
7.326e-21,1.709e-19,-2.94,Plxdc2,prog_lthsc,1.411,2.407,4.352
4.857e-65,1.7e-63,-2.906,Il21r,prog_hspc,2.117,5.023,4.936
2.601e-17,3.833e-16,-2.82,Il21r,prog_lthsc,2.117,5.023,4.936
1.376e-17,2.267e-16,-2.796,Fcgrt,prog_lthsc,0.5343,1.724,3.33
4.716e-26,1.467e-24,2.794,Epdr1,prog_lthsc,4.596,1.595,1.802
3.193e-62,9.935e-61,2.72,Sppl2b,prog_hspc,5.263,2.543,2.72
2.03e-68,8.119e-67,-2.719,Procr,prog_hspc,0.6823,3.401,6.008
5.017e-15,5.203e-14,-2.678,H2-Aa,prog_lthsc,0.6245,2.288,3.302
3.33e-19,6.659e-18,-2.607,Fstl1,prog_lthsc,0.6475,1.904,3.255
1.805e-15,8.425e-14,2.607,Procr,lthsc_hspc,0.6823,3.401,6.008
1.588e-51,3.42e-50,-2.573,Emb,prog_hspc,5.532,8.104,5.967
2.719e-18,4.758e-17,2.543,Sppl2b,prog_lthsc,5.263,2.543,2.72
7.495e-51,1.499e-49,-2.504,Itih5,prog_hspc,2.295,4.799,4.622
9.553e-55,2.675e-53,-2.472,Calcrl,prog_hspc,2.833,5.306,4.11
1.648e-17,2.563e-16,2.4,Slc38a5,prog_lthsc,4.519,2.233,2.119
3.462e-34,1.939e-32,2.37,Ybx1,prog_lthsc,10.31,8.717,7.944
2.717e-50,4.755e-49,2.337,Gdf3,prog_hspc,3.996,1.659,2.125
1.345e-13,1.108e-12,-2.328,Itih5,prog_lthsc,2.295,4.799,4.622
7.688e-53,1.957e-51,2.31,Tfrc,prog_hspc,6.195,3.885,4.032
1.233e-24,3.452e-23,2.304,Clec12a,prog_lthsc,3.776,2.928,1.472
1.541e-49,2.538e-48,2.286,Slc38a5,prog_hspc,4.519,2.233,2.119
2.592e-13,2.074e-12,-2.279,Icam1,prog_lthsc,1.559,2.812,3.838
6.889e-14,5.845e-13,2.263,Ncln,prog_lthsc,5.958,3.908,3.695
3.411e-11,6.822e-10,2.195,Mmrn1,lthsc_hspc,0.8908,2.84,5.035
6.616e-15,6.616e-14,2.163,Tfrc,prog_lthsc,6.195,3.885,4.032
8.02e-17,9.855e-16,-2.161,Cd63,prog_lthsc,4.898,6.535,7.059
4.212e-79,2.948e-77,-2.146,Cd27,prog_hspc,7.182,9.328,7.623
8.803e-45,1.297e-43,-2.145,Angpt1,prog_hspc,5.709,7.854,7.848
8.452e-15,8.16e-14,-2.139,Angpt1,prog_lthsc,5.709,7.854,7.848
8.914e-14,2.773e-12,-2.138,Emb,lthsc_hspc,5.532,8.104,5.967
5.154e-17,6.872e-16,2.126,Rpn1,prog_lthsc,8.56,6.73,6.435
1.181e-14,1.102e-13,2.12,Sell,prog_lthsc,5.11,4.752,2.991
3.718e-42,5.206e-41,-2.118,Tbxa2r,prog_hspc,0.9961,3.115,1.886
9.534e-49,1.483e-47,-2.096,F11r,prog_hspc,0.7893,2.886,4.463
3.222e-15,1.289e-13,-2.073,Cd48,lthsc_hspc,6.681,4.922,2.85
1.711e-14,1.545e-13,2.07,Cd44,prog_lthsc,7.713,7.152,5.643
4.469e-37,4.469e-36,2.05,Ncln,prog_hspc,5.958,3.908,3.695
1.304e-12,3.32e-11,-2.048,H2-DMa,lthsc_hspc,6.422,7.475,5.427
2.145e-16,2.31e-15,2.044,Adam17,prog_lthsc,5.2,4.084,3.157
1.026e-51,2.395e-50,2.041,Col5a1,prog_hspc,2.815,0.7741,1.337
2.373e-22,6.04e-21,2.037,Itgal,prog_lthsc,3.524,2.894,1.486
1.038e-17,7.268e-16,-2.035,Slco3a1,lthsc_hspc,3.525,3.919,1.885
1.847e-40,2.288e-39,-1.995,Esam,prog_hspc,0.8969,2.892,4.838
1.879e-40,2.288e-39,-1.949,Mmrn1,prog_hspc,0.8908,2.84,5.035
1.811e-11,1.18e-10,-1.948,Mpzl1,prog_lthsc,0.7128,1.521,2.66
1.045e-10,1.721e-09,1.945,Plxdc2,lthsc_hspc,1.411,2.407,4.352
7.093e-09,8.636e-08,1.945,Esam,lthsc_hspc,0.8969,2.892,4.838
3.643e-21,5.101e-19,-1.944,Il1r1,lthsc_hspc,1.266,2.924,0.9805
6.523e-13,4.937e-12,-1.908,Sgce,prog_lthsc,0.874,2.07,2.782
3.866e-10,2.005e-09,-1.908,Slc2a1,prog_lthsc,1.604,2.658,3.512
