p.value,FDR,summary.logFC,external_gene_name,comparison,Prog,HSPC,LT.HSC
1.610e-43,4.508e-41,-5.326,Procr,prog_lthsc,0.6823,3.401,6.008
2.333e-30,1.089e-28,-4.144,Mmrn1,prog_lthsc,0.8908,2.84,5.035
2.409e-27,9.638e-26,-3.941,Esam,prog_lthsc,0.8969,2.892,4.838
3.838e-39,5.373e-37,3.831,Cd48,prog_lthsc,6.681,4.922,2.85
1.863e-35,5.217e-33,-3.709,Cd34,lthsc_hspc,6.401,9.458,5.749
5.955e-27,2.084e-25,-3.674,F11r,prog_lthsc,0.7893,2.886,4.463
8.623e-35,6.036e-33,3.28,Atp1b2,prog_lthsc,5.233,1.972,1.953
4.737e-90,6.631e-88,3.035,Emilin2,prog_hspc,4.538,1.503,1.519
2.709e-78,1.264e-76,3.001,Epdr1,prog_hspc,4.596,1.595,1.802
7.326e-21,1.709e-19,-2.94,Plxdc2,prog_lthsc,1.411,2.407,4.352
4.857e-65,1.700e-63,-2.906,Il21r,prog_hspc,2.117,5.023,4.936
1.376e-17,2.267e-16,-2.796,Fcgrt,prog_lthsc,0.5343,1.724,3.33
3.193e-62,9.935e-61,2.72,Sppl2b,prog_hspc,5.263,2.543,2.72
5.017e-15,5.203e-14,-2.678,H2-Aa,prog_lthsc,0.6245,2.288,3.302
3.330e-19,6.659e-18,-2.607,Fstl1,prog_lthsc,0.6475,1.904,3.255
1.588e-51,3.420e-50,-2.573,Emb,prog_hspc,5.532,8.104,5.967
7.495e-51,1.499e-49,-2.504,Itih5,prog_hspc,2.295,4.799,4.622
9.553e-55,2.675e-53,-2.472,Calcrl,prog_hspc,2.833,5.306,4.11
1.648e-17,2.563e-16,2.4,Slc38a5,prog_lthsc,4.519,2.233,2.119
3.462e-34,1.939e-32,2.37,Ybx1,prog_lthsc,10.31,8.717,7.944
2.717e-50,4.755e-49,2.337,Gdf3,prog_hspc,3.996,1.659,2.125
7.688e-53,1.957e-51,2.31,Tfrc,prog_hspc,6.195,3.885,4.032
1.233e-24,3.452e-23,2.304,Clec12a,prog_lthsc,3.776,2.928,1.472
2.592e-13,2.074e-12,-2.279,Icam1,prog_lthsc,1.559,2.812,3.838
6.889e-14,5.845e-13,2.263,Ncln,prog_lthsc,5.958,3.908,3.695
8.020e-17,9.855e-16,-2.161,Cd63,prog_lthsc,4.898,6.535,7.059
4.212e-79,2.948e-77,-2.146,Cd27,prog_hspc,7.182,9.328,7.623
8.803e-45,1.297e-43,-2.145,Angpt1,prog_hspc,5.709,7.854,7.848
5.154e-17,6.872e-16,2.126,Rpn1,prog_lthsc,8.56,6.73,6.435
1.181e-14,1.102e-13,2.12,Sell,prog_lthsc,5.11,4.752,2.991
3.718e-42,5.206e-41,-2.118,Tbxa2r,prog_hspc,0.9961,3.115,1.886
1.711e-14,1.545e-13,2.07,Cd44,prog_lthsc,7.713,7.152,5.643
1.304e-12,3.320e-11,-2.048,H2-DMa,lthsc_hspc,6.422,7.475,5.427
2.145e-16,2.310e-15,2.044,Adam17,prog_lthsc,5.2,4.084,3.157
1.026e-51,2.395e-50,2.041,Col5a1,prog_hspc,2.815,0.7741,1.337
2.373e-22,6.040e-21,2.037,Itgal,prog_lthsc,3.524,2.894,1.486
1.038e-17,7.268e-16,-2.035,Slco3a1,lthsc_hspc,3.525,3.919,1.885
1.811e-11,1.180e-10,-1.948,Mpzl1,prog_lthsc,0.7128,1.521,2.66
3.643e-21,5.101e-19,-1.944,Il1r1,lthsc_hspc,1.266,2.924,0.9805
6.523e-13,4.937e-12,-1.908,Sgce,prog_lthsc,0.874,2.07,2.782
3.866e-10,2.005e-09,-1.908,Slc2a1,prog_lthsc,1.604,2.658,3.512
8.095e-17,9.855e-16,1.906,Ssr1,prog_lthsc,9.208,7.919,7.303
2.626e-11,1.634e-10,-1.825,Jam3,prog_lthsc,0.3358,1.182,2.161
5.701e-10,8.868e-09,1.781,Prnp,lthsc_hspc,1.488,0.9789,2.76
2.943e-39,3.170e-38,-1.756,Ptprc,prog_hspc,6.236,7.992,6.964
2.315e-40,2.701e-39,1.746,Gp5,prog_hspc,3.199,1.454,1.706
2.212e-12,1.548e-11,1.734,Rpn2,prog_lthsc,9.075,7.912,7.341
7.056e-10,3.528e-09,1.727,Slc29a1,prog_lthsc,6.252,5.251,4.525
4.858e-09,6.183e-08,-1.704,Rnf13,lthsc_hspc,4.318,5.667,3.963
1.632e-09,2.284e-08,-1.702,Cd93,lthsc_hspc,5.054,6.704,5.003
4.324e-11,2.632e-10,-1.699,Gabbr1,prog_lthsc,0.8023,2.27,2.501
4.601e-11,2.741e-10,1.698,Atp1b3,prog_lthsc,7.941,6.734,6.243
6.077e-10,3.094e-09,1.694,Il17ra,prog_lthsc,6.15,5.905,4.456
2.148e-28,1.671e-27,1.693,Nptn,prog_hspc,6.028,4.335,4.685
2.907e-08,1.272e-07,-1.679,Mfge8,prog_lthsc,3.327,4.971,5.006
3.720e-29,3.063e-28,-1.653,Notch1,prog_hspc,1.864,3.517,2.856
1.163e-11,2.505e-10,-1.652,Panx1,lthsc_hspc,2.945,3.293,1.641
3.150e-40,3.529e-39,1.65,Cnr2,prog_hspc,2.316,0.6658,0.7476
1.536e-10,8.271e-10,-1.642,Npr2,prog_lthsc,0.3504,1.02,1.993
1.487e-10,8.162e-10,-1.625,Cpxm1,prog_lthsc,0.5443,1.223,2.169
8.345e-31,7.538e-30,-1.604,Alcam,prog_hspc,1.257,2.861,2.519
9.761e-20,2.102e-18,1.586,Fcgr2b,prog_lthsc,2.698,1.707,1.112
6.285e-25,4.190e-24,1.558,Ostm1,prog_hspc,3.801,2.243,2.801
9.204e-17,1.074e-15,-1.551,Adgrg1,prog_lthsc,8.69,10.03,10.24
1.230e-11,8.203e-11,1.542,Atrn,prog_lthsc,3.417,2.396,1.874
1.103e-08,5.065e-08,1.496,Ptprs,prog_lthsc,4.901,3.938,3.405
2.686e-28,2.033e-27,1.486,Itga5,prog_hspc,4.502,3.016,3.732
7.828e-21,7.306e-19,-1.479,Cd244a,lthsc_hspc,1.444,2.021,0.5415
8.391e-22,4.895e-21,-1.467,Il4ra,prog_hspc,1.864,3.331,2.628
9.082e-12,6.203e-11,1.407,Emid1,prog_lthsc,2.656,2.638,1.25
8.494e-10,4.172e-09,1.386,Adgrl2,prog_lthsc,3.187,1.957,1.802
4.064e-09,1.962e-08,-1.379,Cd79a,prog_lthsc,0.2699,0.4602,1.649
4.178e-09,1.983e-08,-1.335,Eng,prog_lthsc,6.691,7.009,8.026
1.324e-10,7.414e-10,-1.314,Psap,prog_lthsc,6.633,7.834,7.947
3.480e-06,1.299e-05,1.309,Sppl2a,prog_lthsc,5.993,4.924,4.684
2.766e-25,1.889e-24,-1.266,Nrxn1,prog_hspc,3.28,4.546,3.443
1.610e-08,7.270e-08,1.23,Sort1,prog_lthsc,2.656,2.534,1.426
6.256e-08,2.695e-07,-1.228,Jam2,prog_lthsc,0.282,0.4723,1.51
4.391e-16,1.983e-15,-1.227,Tnfrsf26,prog_hspc,1.197,2.423,2.133
1.121e-05,3.783e-05,1.226,Tmx3,prog_lthsc,4.424,3.716,3.198
7.969e-06,2.755e-05,-1.213,Cd274,prog_lthsc,1.23,2.179,2.443
7.216e-11,4.209e-10,1.185,Bsg,prog_lthsc,9.095,8.079,7.909
1.214e-16,1.359e-15,1.185,Pdgfrb,prog_lthsc,1.632,1.271,0.4478
3.247e-20,1.749e-19,-1.183,Lag3,prog_hspc,0.8444,2.027,1.383
4.298e-05,1.267e-04,-1.179,Il27ra,prog_lthsc,1.841,2.814,3.02
2.514e-05,7.999e-05,1.172,Copb1,prog_lthsc,6.025,5.476,4.853
1.683e-12,6.457e-12,1.172,Plxnc1,prog_hspc,4.834,3.662,4.356
6.849e-09,3.196e-08,1.169,Vdac1,prog_lthsc,8.681,7.543,7.512
3.995e-05,2.664e-04,-1.153,Anxa2,lthsc_hspc,4.145,4.419,3.266
2.156e-07,2.236e-06,-1.151,Milr1,lthsc_hspc,2.57,2.82,1.669
9.850e-06,7.258e-05,-1.148,Pecam1,lthsc_hspc,3.936,4.034,2.886
2.115e-05,6.886e-05,-1.128,Cd200r1,prog_lthsc,0.7966,1.699,1.925
4.397e-15,1.539e-13,-1.102,Cd33,lthsc_hspc,0.5118,1.48,0.3779
1.980e-05,6.521e-05,-1.091,Ldlr,prog_lthsc,3.011,3.411,4.103
5.441e-07,2.116e-06,-1.087,Islr,prog_lthsc,0.1724,0.646,1.259
3.963e-07,1.608e-06,-1.078,Cdcp1,prog_lthsc,0.2789,0.9158,1.357
2.472e-05,7.955e-05,-1.075,Ece1,prog_lthsc,2.584,3.377,3.658
3.801e-20,2.008e-19,1.061,Plpp1,prog_hspc,1.777,0.7164,1.241
5.614e-05,3.656e-04,1.006,Slamf1,lthsc_hspc,1.156,0.8908,1.897
4.153e-13,3.230e-12,1.004,Csf1r,prog_lthsc,2.113,1.703,1.109
3.472e-09,1.023e-08,-1,Cd79b,prog_hspc,2.717,3.718,3.631
